# ----------------------------------------
# 1 Master View
# Обзор аудитории
# 20190427-20190503
# ----------------------------------------

Индекс часа,Диапазон дат,Сегмент,Просмотры страниц
000134,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,0
000134,27.04.2019 - 03.05.2019,Новые пользователи,277
000135,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,105
000135,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,41
000135,27.04.2019 - 03.05.2019,Новые пользователи,293
000136,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,71
000136,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,12
000136,27.04.2019 - 03.05.2019,Новые пользователи,197
000137,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,101
000137,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,0
